,Unnamed: 0,Unnamed: 0.1,smiles,Molecular weight,Normal boiling point,Melting point,Critical temperature,Critical pressure,Critical volume,Heat of fusion,logP,Molecular refractivity
0,0,0,C(Cl)(Cl)(Cl)Cl,153.8227,349.85,250.15,556.3,4540000.0,0.000276,,2.5529,26.143
1,1,1,C1=CC=C(C=C1)N,93.12648,457.25,267.15,705.0,5630000.0,0.000291,,1.2687999999999997,30.8544
2,2,2,CCO,46.06844,351.39,159.05,514.0,6137000.0,0.000168,,-0.0014000000000000123,12.759800000000002
3,3,3,CO,32.04186,337.65,175.15,512.5,8084000.0,0.000117,,-0.3915,8.1428
4,4,4,CC(C)O,60.09502,355.36,183.65,508.3,4764000.0,0.000222,,0.38710000000000006,17.354800000000004
5,5,5,CC(=O)C,58.07914,329.23,178.35,508.1,4700000.0,0.000213,,0.5952999999999999,16.355
6,6,6,C(Cl)(Cl)Cl,119.37764,334.35,210.15,536.2,5330000.0,0.000244,,1.9864,21.347
7,7,7,CCCO,60.09502,370.19,146.6,536.8,5169000.0,0.000218,,0.3887,17.376800000000003
8,8,8,CCCCO,74.1216,390.75,183.35,563.0,4414000.0,0.000274,,0.7787999999999999,21.9938
9,9,9,CCCCCO,88.14818,410.75,194.7,588.1,3897000.0,0.000326,,1.1689,26.61079999999999
10,10,10,C1=CC=CC=C1,78.11184,353.23,278.65,562.05,4895000.0,0.000256,,1.6866,26.442
11,11,11,C,12.0107,4273.15,3823.15,7020.5,796719000.0,2.662e-05,,0.6361,6.731
12,12,12,CC,30.07,184.55,90.3,305.32,4872000.0,0.0001455,,1.0262,11.348000000000004
13,13,13,C=C,28.05316,169.35,104.05,282.34,5041000.0,0.0001311,,0.8022,11.254
14,14,14,C#C,26.03728,189.15,192.4,308.3,6138000.0,0.0001122,,0.24939999999999998,9.89
15,15,15,CCl,50.48752,249.05,175.8,416.25,6680000.0,0.00014,,0.855,11.777
16,16,16,CN,31.0571,266.75,179.95,430.8,7620000.0,0.000141,,-0.4251,10.1114
17,17,17,CS,48.10746,279.15,151.15,470.0,7230000.0,0.000147,,0.546,14.910000000000002
18,18,18,CCBr,108.9651,311.35,154.15,504.0,5800000.0,0.000214,,1.4012,19.468
19,19,19,CCC,44.097,231.04,85.5,369.83,4248000.0,0.0002,,1.4163,15.965000000000003
20,20,20,CC#C,40.06386,249.95,170.45,402.4,5630000.0,0.0001635,,0.6395,14.507
21,21,21,CCCl,64.5141,285.45,134.3,460.0,5200000.0,0.000198,,1.2451,16.394000000000002
22,22,22,CCN,45.08368,289.75,192.05,456.0,5600000.0,0.00018,,-0.03499999999999981,14.728400000000002
23,23,23,CCS,62.13404,308.15,125.15,499.0,5490000.0,0.000207,,0.9360999999999999,19.527
24,24,24,C(Cl)Cl,84.93258,312.95,178.1,508.0,6350000.0,0.000177,,1.4215,16.573
25,25,25,C(F)F,52.023386,221.5,137.15,351.25,5783000.0,0.000122,,0.8829,7.083
26,26,26,CSC,62.13404,310.47,175.15,503.0,5530000.0,0.0002037,,0.9792,19.439
27,27,27,C1CC1,42.07974,242.15,145.75,398.0,5540000.0,0.000162,,1.1703,13.851000000000004
28,28,28,CC(C)C,58.124,261.45,124.2,407.8,3640000.0,0.000259,,1.6622999999999999,20.512
29,29,29,CC(C)N,59.11026,304.95,178.02,472.2,4550000.0,0.000219,,0.35350000000000004,19.323400000000003
30,30,30,CC(Cl)Cl,98.95916,329.45,176.2,523.4,5060000.0,0.000236,,1.81,21.167999999999992
31,31,31,CC(F)F,66.049966,249.13,156.15,386.43,4520000.0,0.00018,,1.2714,11.678000000000004
32,32,32,C(F)(Cl)Cl,102.923043,282.05,138.15,451.51,5190000.0,0.000196,,1.7171,16.602
33,33,33,C(F)(F)Cl,86.468446,232.35,121.45,369.25,4990000.0,0.000165,,1.4478,11.857
34,34,34,C(F)(F)F,70.01385,191.15,115.6,299.0,4800000.0,0.000135,,1.1784999999999999,7.112
35,35,35,C(F)(F)(Br)Br,209.815506,295.94,163.05,471.0,4070000.0,0.000249,,2.3265000000000002,22.801
36,36,36,C(F)(F)(F)Br,148.90991,215.35,101.15,340.1,3960000.0,0.000199,,1.9011,14.982
37,37,37,CC(C)(C)O,74.1216,355.45,298.35,506.2,3972000.0,0.000275,,0.7771999999999999,21.971799999999995
